x, Bphi, vr, vz, rho, Omega, Psi, T, P, Bphi', vr', vz', rho', Omega', Psi', T', P'
        5.201000000000003E-001,       -2.366346786811827E-001,        1.064111316891094E-001,       -5.474505807143285E-002,        6.645361619473376E-002,        8.451653404027895E-001,        9.600742153866346E-001,        1.055822497607131E+000,        7.016324687037687E-002,       -1.528748899273565E-002,       -1.079806947816935E+000,        4.604774552272449E-001,       -5.836038690747066E-001,        1.943578662092600E-001,       -1.233353866137147E-001,        1.808248943176910E-001,       -6.041656265342008E-001
        5.301000000000003E-001,       -2.367827845882144E-001,        9.612277239089445E-002,       -5.030016593784586E-002,        6.087072196674646E-002,        8.471350768561947E-001,        9.588391520192810E-001,        1.057635972894782E+000,        6.437908916181070E-002,       -1.436456253595541E-002,       -9.793578862293604E-001,        4.287889715886545E-001,       -5.336924382387669E-001,        1.994609830494022E-001,       -1.236705829118537E-001,        1.818614434086661E-001,       -5.533822837850466E-001
        5.401000000000004E-001,       -2.369225321644502E-001,        8.679504809068460E-002,       -4.616342082472094E-002,        5.576593155959156E-002,        8.491522067265598E-001,        9.576009318973359E-001,        1.059459559731262E+000,        5.908177329176879E-002,       -1.361050030353957E-002,       -8.875861633394638E-001,        3.988566605470522E-001,       -4.879320276522721E-001,        2.038572756330460E-001,       -1.239673183787404E-001,        1.828479523035515E-001,       -5.067475648012870E-001
        5.501000000000004E-001,       -2.370554594558180E-001,        7.834405181756528E-002,       -4.231707847834255E-002,        5.109925217755941E-002,        8.512102523937829E-001,        9.563599226815813E-001,        1.061292779635961E+000,        5.423129143107353E-002,       -1.299606126127603E-002,       -8.039156064236108E-001,        3.707107234580250E-001,       -4.460207646365690E-001,        2.076617045933894E-001,       -1.242289353585851E-001,        1.837887504806109E-001,       -4.639671493682937E-001
        5.601000000000004E-001,       -2.371828370693836E-001,        7.069166147279751E-002,       -3.874324833076694E-002,        4.683365625204053E-002,        8.533037917898698E-001,        9.551164599978893E-001,        1.063135195812370E+000,        4.979053230158115E-002,       -1.249686281309289E-002,       -7.277679451273970E-001,        3.443515427863014E-001,       -4.076679627648293E-001,        2.109708943555824E-001,       -1.244585014911098E-001,        1.846878362540162E-001,       -4.247565527833629E-001
        5.701000000000004E-001,       -2.373057128526281E-001,        6.376552562432081E-002,       -3.542417249057245E-002,        4.293495676790405E-002,        8.554282921529225E-001,        9.538708500924308E-001,        1.064986409406267E+000,        4.572516953585792E-002,       -1.209262194925928E-002,       -6.585703772474479E-001,        3.197539156801806E-001,       -3.725965133123299E-001,        2.138663522762969E-001,       -1.246588273916297E-001,        1.855488186619835E-001,       -3.888436923622047E-001
        5.801000000000004E-001,       -2.374249495794629E-001,        5.749892892404725E-002,       -3.234243463710645E-002,        3.937166333314572E-002,        8.575799674292138E-001,        9.526233723197670E-001,        1.066846056560494E+000,        4.200352793229736E-002,       -1.176650116146618E-002,       -5.957683825839124E-001,        2.968749007750757E-001,       -3.405443897668839E-001,        2.164163521216248E-001,       -1.248324845672442E-001,        1.863750842858683E-001,       -3.559705422344100E-001
        5.901000000000004E-001,       -2.375412564965564E-001,        5.183057390839298E-002,       -2.948111042303065E-002,        3.611482682981801E-002,        8.597556568333753E-001,        9.513742814399014E-001,        1.068713805702774E+000,        3.859643826179271E-002,       -1.150454882033437E-002,       -5.388349562598109E-001,        2.756604130719242E-001,       -3.112654483070582E-001,        2.186779069496483E-001,       -1.249818229376315E-001,        1.871697042430386E-001,       -3.258940803874906E-001
        6.001000000000004E-001,       -2.376552157546764E-001,        4.670430860389860E-002,       -2.682387294043507E-002,        3.313787879633950E-002,        8.619527219650361E-001,        9.501238097512953E-001,        1.070589354729901E+000,        3.547708449377088E-002,       -1.129522348611660E-002,       -4.872711744624839E-001,        2.560472191508099E-001,       -2.845297141624656E-001,        2.206986294032789E-001,       -1.251089878783438E-001,        1.879355166907786E-001,       -2.983866987130506E-001
        6.101000000000004E-001,       -2.377673044285128E-001,        4.206882150040572E-002,       -2.435506178779749E-002,        3.041646997806544E-002,        8.641689600740847E-001,        9.488721690516110E-001,        1.072472428575678E+000,        3.262084962442183E-002,       -1.112899164429497E-002,       -4.406055300801646E-001,        2.379642489082736E-001,       -2.601232754698339E-001,        2.225184336922707E-001,       -1.252159364624512E-001,        1.886750744483909E-001,       -2.732362112346242E-001
        6.201000000000004E-001,       -2.378779128662116E-001,        3.787732040785038E-002,       -2.205972317887869E-002,        2.792831141541584E-002,        8.664025312634546E-001,        9.476195524454383E-001,        1.074362776560549E+000,        3.000516239724187E-002,       -1.099798909651010E-002,       -3.984040711186357E-001,        2.213405874716460E-001,       -2.378479036848742E-001,        2.241702606580222E-001,       -1.253044528792143E-001,        1.893907257131496E-001,       -2.502455710350791E-001
